market_date,market_day,market_week,market_year,vendor_name,sales
2022-04-05,Wednesday,15,2022,Marco's Peppers,76
2022-04-05,Wednesday,15,2022,Annie's Pies,399.0
2022-04-08,Saturday,15,2022,Marco's Peppers,112
2022-04-08,Saturday,15,2022,Annie's Pies,437.5
2022-04-12,Wednesday,16,2022,Marco's Peppers,92
2022-04-12,Wednesday,16,2022,Annie's Pies,413.0
2022-04-15,Saturday,16,2022,Marco's Peppers,104
2022-04-15,Saturday,16,2022,Annie's Pies,273.0
2022-04-19,Wednesday,17,2022,Marco's Peppers,122.5
2022-04-19,Wednesday,17,2022,Annie's Pies,371.0
2022-04-22,Saturday,17,2022,Marco's Peppers,80
2022-04-22,Saturday,17,2022,Annie's Pies,375.5
2022-04-26,Wednesday,18,2022,Marco's Peppers,108
2022-04-26,Wednesday,18,2022,Annie's Pies,258.0
2022-04-29,Saturday,18,2022,Marco's Peppers,101.5
2022-04-29,Saturday,18,2022,Annie's Pies,343.0
2022-05-03,Wednesday,19,2022,Marco's Peppers,84
2022-05-03,Wednesday,19,2022,Annie's Pies,439.0
2022-05-06,Saturday,19,2022,Marco's Peppers,100
2022-05-06,Saturday,19,2022,Annie's Pies,397.0
2022-05-10,Wednesday,20,2022,Marco's Peppers,88
2022-05-10,Wednesday,20,2022,Annie's Pies,406.5
2022-05-13,Saturday,20,2022,Marco's Peppers,116
2022-05-13,Saturday,20,2022,Annie's Pies,364.0
2022-05-17,Wednesday,21,2022,Marco's Peppers,52
2022-05-17,Wednesday,21,2022,Annie's Pies,380.5
2022-05-20,Saturday,21,2022,Marco's Peppers,120
2022-05-20,Saturday,21,2022,Annie's Pies,367.5
2022-05-24,Wednesday,22,2022,Marco's Peppers,88
2022-05-24,Wednesday,22,2022,Annie's Pies,408.0
2022-05-27,Saturday,22,2022,Marco's Peppers,48
2022-05-27,Saturday,22,2022,Annie's Pies,336.5
2022-05-31,Wednesday,23,2022,Marco's Peppers,120
2022-05-31,Wednesday,23,2022,Annie's Pies,513.0
2022-06-03,Saturday,23,2022,Fields of Corn,8.6
2022-06-03,Saturday,23,2022,Marco's Peppers,88
2022-06-03,Saturday,23,2022,Annie's Pies,395.5
